City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Itarema,BR,-2.9248,-39.9167,79.61,73,96,13.35,overcast clouds
335,Voyvozh,RU,62.892,54.9635,6.69,98,96,5.48,overcast clouds
336,Malaga,ES,36.7202,-4.4203,60.69,39,0,16.11,clear sky
337,Manacapuru,BR,-3.2997,-60.6206,85.33,63,99,3.85,heavy intensity rain
338,Lufilufi,WS,-13.8745,-171.5986,83.79,75,66,15.86,broken clouds
339,Zhigansk,RU,66.7697,123.3711,-40.99,100,76,1.32,broken clouds
340,Bardiyah,LY,31.7561,25.0865,62.2,52,5,7.31,clear sky
341,Kontagora,NG,10.3999,5.4695,74.39,26,100,2.44,overcast clouds
342,Baykit,RU,61.67,96.37,-6.25,97,100,4.59,overcast clouds
343,Namatanai,PG,-3.6667,152.4333,82.78,71,84,3.2,broken clouds
